	HNSCC_GSE103322.pearson.p.value	HNSCC_GSE103322.pearson.cor	HNSCC_GSE103322.sp.p.value.x	HNSCC_GSE103322.sp.cor.x	SKCM_GSE72056.pearson.p.value	SKCM_GSE72056.pearson.cor	SKCM_GSE72056.sp.p.value	SKCM_GSE72056.sp.cor	NSCLC_EMTAB6149.pearson.p.value	NSCLC_EMTAB6149.pearson.cor	HNSCC_GSE103322.sp.p.value.y	HNSCC_GSE103322.sp.cor.y
CCR8	0.568396303	-0.021580279	0.761852438	-0.011466093	0.757591956	0.030780088	0.767176243	0.029526682	0.704391236	0.009951269	0.761852438	-0.011466093
CCR9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCRL1	0.943860241	-0.002664436	0.35906095	0.034691985	0.503072343	0.066724634	0.580773495	0.055045834	NA	NA	0.35906095	0.034691985
CCRL2	0.326537669	-0.037109539	0.954620765	0.002153117	0.66470391	-0.043214361	0.866469208	-0.016771337	0.71707063	0.009504796	0.954620765	0.002153117
CCRN4L	0.046226036	0.075314246	9.97E-05	0.146439144	0.059901029	-0.186040322	0.229445498	-0.11944902	NA	NA	9.97E-05	0.146439144
CSF1	0.952108789	0.002272443	0.007015313	0.10174811	0.303538904	-0.102360621	0.90682334	-0.01167501	0.817122931	0.006065471	0.007015313	0.10174811
CSF1R	0.941772657	-0.002763687	0.262451585	0.042381679	0.768963842	0.029293418	0.515846539	0.064745812	0.317018987	0.026240934	0.262451585	0.042381679
CSF2	NA	NA	NA	NA	NA	NA	NA	NA	0.393672248	-0.022370478	NA	NA
CSF2RA	0.82650756	-0.008293082	0.550363253	-0.022593975	0.670268599	0.042452468	0.003975709	0.281457361	0.85336114	0.004848039	0.550363253	-0.022593975
CSF2RB	0.332827154	-0.036630382	0.363243296	-0.034391318	0.0017364	-0.304938339	0.000394382	-0.342727252	0.543807688	-0.015922096	0.363243296	-0.034391318
CSF3	0.437981634	-0.029340291	0.331675723	-0.036717662	NA	NA	NA	NA	0.975255372	0.000813585	0.331675723	-0.036717662
CSF3R	0.532308672	-0.023625369	0.929349577	-0.003354741	NA	NA	NA	NA	0.493398898	0.017963575	0.929349577	-0.003354741
CXCL1	0.795339441	-0.009814054	0.195337836	-0.048967593	0.209234016	-0.124763863	0.349034234	-0.093209025	0.228319894	-0.031590919	0.195337836	-0.048967593
CXCL10	0.560387661	-0.02202852	0.705695145	0.014288184	NA	NA	NA	NA	0.761344619	-0.007966225	0.705695145	0.014288184
CXCL11	0.798838902	-0.009642539	0.616113171	0.018968502	0.245705435	-0.115407144	0.437746341	-0.07729079	0.567964164	0.014977662	0.616113171	0.018968502
CXCL12	0.000286818	-0.13658827	0.000109909	-0.145558554	0.014663217	0.23988391	0.0055411	0.271468348	0.611432322	0.013324856	0.000109909	-0.145558554
CXCL13	0.000125371	0.14435848	0.19059116	0.049491942	0.946728247	-0.006664835	0.283262966	0.106727828	0.536845647	-0.016198105	0.19059116	0.049491942
CXCL14	0.002740617	-0.112974906	0.000418892	-0.132892173	0.181241163	0.132769263	0.028556459	0.215827854	0.561606736	-0.015224291	0.000418892	-0.132892173
CXCL16	0.118189062	-0.059065674	0.688350033	0.015175367	0.640659799	0.046535858	0.062717742	0.184064397	0.468157818	0.019027354	0.688350033	0.015175367
CXCL17	NA	NA	NA	NA	NA	NA	NA	NA	0.285386705	0.028015547	NA	NA
CXCL2	0.621929124	-0.018656488	0.098899892	-0.062378206	0.047659491	-0.195631518	0.003372463	-0.28627925	0.852502559	0.004876752	0.098899892	-0.062378206
CXCL3	0.86747581	-0.006313631	0.172053326	-0.051637089	0.700145899	-0.038402012	0.657952009	0.044142159	0.611156513	-0.013335172	0.172053326	-0.051637089
CXCL5	0.021997593	0.08649975	0.373987647	0.033628668	0.607784303	-0.051162175	0.954405293	-0.00570324	0.460100126	-0.01937355	0.373987647	0.033628668
CXCL6	0.001958505	0.116759572	0.037999901	0.078385504	NA	NA	NA	NA	0.611174729	-0.01333449	0.037999901	0.078385504
CXCL9	0.661832281	0.016548198	0.42137658	0.030415249	0.52505329	-0.063335129	0.933454443	-0.008328948	0.524931029	-0.016674676	0.42137658	0.030415249
CXCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXCR2	0.482435947	-0.026571643	0.421452507	-0.030410278	0.959384268	0.005079879	0.564663615	0.057401627	NA	NA	0.421452507	-0.030410278
CXCR2P1	NA	NA	NA	NA	0.814478526	-0.023403444	0.521273346	0.063912771	NA	NA	NA	NA
CXCR3	NA	NA	NA	NA	0.405898955	-0.082763325	0.594730541	-0.053029145	0.226679113	-0.031702564	NA	NA
CXCR4	0.265447308	-0.0421169	0.323076228	-0.0373758	0.860376679	-0.017544199	0.091314908	0.167240164	0.85087127	-0.004931324	0.323076228	-0.0373758
CXCR5	0.553138357	-0.022436938	0.507499525	0.02507201	0.163448571	0.138339309	0.120411335	0.153991565	NA	NA	0.507499525	0.02507201
CXCR6	0.792996228	-0.009929012	0.345232357	-0.035702103	NA	NA	NA	NA	0.846332701	0.005083266	0.345232357	-0.035702103
CXCR7	0.000284216	0.136676069	0.000122748	0.144551843	0.754662383	-0.031164158	0.195267024	-0.128654402	NA	NA	0.000122748	0.144551843
IFNAR1	0.308098444	0.038549903	0.004056839	0.108411872	0.483305088	-0.069839183	0.675833281	-0.041693013	0.627124171	0.012741284	0.004056839	0.108411872
IFNAR2	0.384713235	-0.032880726	0.020412014	0.087563602	0.255050047	-0.113167518	0.380871443	0.087243542	0.715467845	0.00956108	0.020412014	0.087563602
IFNG	0.608378465	-0.01938546	0.39453117	0.032207159	NA	NA	NA	NA	0.651297932	0.011854331	0.39453117	0.032207159
IFNGR1	0.089100014	-0.064262623	0.007669816	-0.10062748	0.547818618	0.059899263	0.860196826	0.01756703	0.142140604	-0.038487346	0.007669816	-0.10062748
IFNGR2	0.513895965	-0.024695599	0.69709857	0.014726879	0.31462729	-0.100052951	0.274058403	-0.108779184	0.465086374	0.019158924	0.69709857	0.014726879
IL10	0.64267471	-0.017553593	0.142266696	0.055479333	0.009440686	0.254636007	0.000448352	0.339641236	0.315328055	-0.026332752	0.142266696	0.055479333
IL10RB	0.311034341	0.038316853	0.339189094	0.036151603	0.963678551	0.004542398	0.791783835	0.026329008	0.500292208	0.01767819	0.339189094	0.036151603
IL11	0.064868818	0.069768069	0.105224222	0.061239824	0.149682423	0.142966352	0.005556933	0.271380916	0.91232808	-0.002887944	0.105224222	0.061239824
IL11RA	0.010881307	-0.096128246	0.085279447	-0.065042559	0.631898142	0.047758789	0.250825552	0.114172891	0.67263495	-0.01108259	0.085279447	-0.065042559
IL12A	NA	NA	NA	NA	NA	NA	NA	NA	0.915829266	0.002772175	NA	NA
IL12B	NA	NA	NA	NA	0.000216648	0.356736819	0.213065446	0.123729234	NA	NA	NA	NA
IL12RB1	0.015556643	0.091342133	0.112492021	0.059996668	0.168959822	0.136568098	0.00085518	0.323599806	0.689693741	-0.010472443	0.112492021	0.059996668
IL12RB2	0.504679212	-0.025238765	0.901521605	-0.004681903	0.093697619	0.166039425	0.019196552	0.230431707	0.611919929	-0.013306624	0.901521605	-0.004681903
IL13	NA	NA	NA	NA	NA	NA	NA	NA	0.110425131	0.041851655	NA	NA
IL13RA1	0.73202096	0.012956301	0.071352718	0.068149335	0.75633341	-0.030945029	0.997843535	0.000269598	0.900391871	0.00328306	0.071352718	0.068149335
IL13RA2	NA	NA	NA	NA	NA	NA	NA	NA	0.769780643	0.007676304	NA	NA
IL15	0.968122698	-0.001512076	0.597796342	-0.01995976	0.835471012	-0.02071492	0.579947542	0.055165869	0.643841923	-0.012126409	0.597796342	-0.01995976
IL15RA	0.016895691	-0.090207113	0.22401728	-0.045982246	0.557088671	-0.058520285	0.846282131	0.019336217	0.02044028	0.060748528	0.22401728	-0.045982246
IL16	0.001369769	-0.120671388	0.001996609	-0.116545459	0.824419709	-0.022128298	0.096013407	0.164895313	0.066790527	0.048053293	0.001996609	-0.116545459
IL17A	NA	NA	NA	NA	NA	NA	NA	NA	0.511895001	0.017202487	NA	NA
IL17B	0.967292599	0.001551473	0.324252981	0.037285075	NA	NA	NA	NA	0.122812782	0.040457722	0.324252981	0.037285075
IL17C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL17D	NA	NA	NA	NA	NA	NA	NA	NA	0.79147892	-0.00693479	NA	NA
IL17RA	0.642156445	0.017580961	0.869941258	0.006195111	7.01E-05	0.381497745	1.39E-07	0.491077503	0.480480458	0.01850422	0.869941258	0.006195111
IL17RB	0.620396627	-0.01873858	0.226936207	0.045694145	0.520541344	-0.064024879	0.900674101	-0.012449338	0.297390518	0.027327387	0.226936207	0.045694145
IL17RC	0.092477287	-0.063595262	0.792070992	-0.009974429	0.12752477	0.151138389	0.780159958	0.027835971	0.465507807	0.019140843	0.792070992	-0.009974429
IL17RD	0.831848733	-0.008033843	0.045805174	0.075459702	0.04608069	0.197012694	4.62E-05	0.390146217	0.370846226	-0.023469401	0.045805174	0.075459702
IL17RE	0.46134743	-0.027866457	0.347675591	-0.035521797	NA	NA	NA	NA	0.63934067	0.012291296	0.347675591	-0.035521797
IL18	0.765073381	0.011306291	0.168808132	0.052030098	0.176954782	0.134073007	0.007660633	0.261360989	0.23026728	-0.031459151	0.168808132	0.052030098
IL18BP	0.391950404	-0.03238322	0.831529543	0.008049325	0.371151799	-0.089031162	0.70683176	-0.037504333	0.98840401	0.00038122	0.831529543	0.008049325
IL18R1	0.492913447	-0.0259398	0.658995137	0.016696342	0.20200455	-0.126753543	0.354843571	-0.092096157	0.949238293	0.001669866	0.658995137	0.016696342
IL18RAP	0.669240317	0.016162566	0.768308419	-0.011145992	NA	NA	NA	NA	0.611919929	-0.013306624	0.768308419	-0.011145992
IL19	NA	NA	NA	NA	NA	NA	NA	NA	0.611919929	-0.013306624	NA	NA
IL1A	NA	NA	NA	NA	NA	NA	NA	NA	0.465599917	0.019136892	NA	NA
IL1B	0.469011911	-0.027392167	0.831418274	0.008054722	0.985953322	0.001756184	0.522460805	0.063731079	0.758943305	-0.008048928	0.831418274	0.008054722
IL1R1	0.021878116	0.086577552	0.000199336	0.140053959	0.551462721	-0.059355843	0.395073521	-0.084680388	0.008779957	0.068653823	0.000199336	0.140053959
IL1R2	0.584654901	0.020679421	0.387877985	0.032662478	0.839728263	0.020171557	0.294780348	0.104222708	0.943622073	-0.001854911	0.387877985	0.032662478
IL1RAP	0.404930483	0.031504649	0.023581873	0.0855013	0.02897697	0.215273838	0.021977335	0.225551008	0.559982944	-0.015287499	0.023581873	0.0855013
IL1RAPL1	NA	NA	NA	NA	NA	NA	NA	NA	0.611919929	-0.013306624	NA	NA
IL1RL1	0.35124371	-0.035259916	0.211389381	-0.047260527	0.474847604	-0.07119244	0.77068864	0.0290685	0.545621088	-0.015850493	0.211389381	-0.047260527
IL1RL2	0.350726476	0.035297773	0.768870164	0.011118177	NA	NA	NA	NA	0.008285298	0.069169009	0.768870164	0.011118177
IL1RN	0.687656012	-0.015211036	0.863788991	0.006490982	NA	NA	NA	NA	0.881666868	0.003904439	0.863788991	0.006490982
IL2	NA	NA	NA	NA	0.720175504	-0.035721569	0.973174809	0.003354267	0.473914045	-0.018782055	NA	NA
IL20RA	NA	NA	NA	NA	NA	NA	NA	NA	0.063858323	0.048579238	NA	NA
IL20RB	0.519140911	-0.024388762	0.374389575	0.033600404	0.472573201	-0.071558574	0.959506358	-0.005064596	0.962456126	-0.001234672	0.374389575	0.033600404
IL21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL21R	0.039016619	0.077977074	0.033768948	0.080191755	0.20680753	0.125426113	0.003207495	0.287732531	0.214848068	-0.032525188	0.033768948	0.080191755
IL22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL22RA2	NA	NA	NA	NA	NA	NA	NA	NA	0.681584001	-0.010761781	NA	NA
IL23A	0.605803745	-0.019524777	0.666969723	-0.016280584	0.503403542	-0.066673003	0.36785228	-0.089644488	NA	NA	0.666969723	-0.016280584
IL23R	0.314418476	-0.038050013	0.592205135	0.020265054	0.281234758	0.107175963	0.069778632	0.179411042	NA	NA	0.592205135	0.020265054
IL24	0.649878414	0.017174126	0.474281286	0.02706857	0.950272971	-0.006220767	0.662933709	0.043457249	0.30165183	-0.027087569	0.474281286	0.02706857
IL26	NA	NA	NA	NA	0.525413443	-0.063280201	0.567241586	-0.057022544	NA	NA	NA	NA
IL27	NA	NA	NA	NA	NA	NA	NA	NA	0.611919929	-0.013306624	NA	NA
IL27RA	0.996268276	-0.000176965	0.39255993	0.032341575	0.703463881	-0.037956144	0.708663442	0.037258927	0.177171526	-0.035386225	0.39255993	0.032341575
IL2RA	0.582747508	-0.020784493	0.390104521	0.032509579	0.152572743	0.141969237	0.002278013	0.297454012	0.360923211	-0.023960159	0.390104521	0.032509579
IL2RB	0.768588903	-0.011132103	0.304712068	0.038820539	0.920769975	-0.009921308	0.909311262	0.011361924	0.744095232	0.008562119	0.304712068	0.038820539
IL2RG	0.490110043	-0.026108144	0.931855053	0.003235476	0.189889737	-0.130205773	0.473581139	-0.071396198	0.685734148	0.010613552	0.931855053	0.003235476
IL31RA	0.156323237	0.053597153	0.169278326	0.051972807	0.861876646	0.017353828	0.118037877	0.154972425	0.611919929	-0.013306624	0.169278326	0.051972807
IL32	0.005318999	0.105161156	2.31E-05	0.159113854	0.084184449	-0.170988425	0.341690345	-0.094632582	0.087950136	-0.044733541	2.31E-05	0.159113854
IL33	0.211089958	-0.047291495	0.215601377	-0.04682821	0.025075478	-0.220701274	0.02828189	-0.216193339	0.768540334	0.00771887	0.215601377	-0.04682821
IL34	0.538596073	-0.023264239	0.771821809	0.010972125	0.747694176	0.032079543	0.975123558	-0.003110512	0.594869807	-0.013948048	0.771821809	0.010972125
IL3RA	0.340258956	-0.036071656	0.419507508	-0.03053778	0.276028463	-0.108336288	0.137565341	-0.147311717	0.725219965	0.009219291	0.419507508	-0.03053778
IL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL4I1	0.009862394	0.097410514	0.03977919	0.077676618	0.241738199	-0.116375753	0.57920567	-0.055273752	0.203296209	-0.033360503	0.03977919	0.077676618
IL4R	0.835365909	-0.007863339	0.079786965	0.066214776	0.907824862	0.011548963	0.360054474	0.09110753	0.03819299	0.054328071	0.079786965	0.066214776
IL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL5RA	0.504743358	0.025234967	0.215855239	0.046802349	0.059202513	0.186542044	0.14567374	0.144373528	0.480090461	-0.018520663	0.215855239	0.046802349
IL6	0.231108424	-0.045286885	0.298843669	-0.039294297	0.088773655	-0.168548459	0.125867589	-0.15179194	0.554233712	-0.015512014	0.298843669	-0.039294297
IL6R	0.426408881	0.030086917	0.501323223	-0.025437833	0.092892921	0.166442214	0.016303021	0.236205305	0.730828754	-0.009023427	0.501323223	-0.025437833
IL6ST	0.062085596	-0.070504028	0.141683717	-0.055560407	0.963487375	0.004566323	0.995438573	0.000570266	0.042193656	0.053250476	0.141683717	-0.055560407
IL7	0.429259005	-0.029901961	0.75068109	0.012021949	0.749705323	-0.031815076	0.602108817	-0.05197168	0.767284334	0.007761996	0.75068109	0.012021949
IL7R	0.048704453	0.074479549	0.010855186	0.09615976	0.925572472	-0.009318149	0.18032342	0.133046488	0.254600763	-0.02987534	0.010855186	0.09615976
IL8	0.043769343	0.076179601	0.013698186	0.09306881	0.752836342	-0.031403784	0.910232227	-0.011246056	NA	NA	0.013698186	0.09306881
IL9R	0.845088665	0.007392822	0.409457333	0.031202215	0.596622157	-0.052757479	0.961515389	-0.004813127	NA	NA	0.409457333	0.031202215
ILDR1	0.009559492	0.097814428	0.013057465	0.093712187	0.913790913	-0.01079847	0.71393629	0.036553712	0.414294706	0.021410361	0.013057465	0.093712187
ILDR2	0.680399022	-0.015584822	0.467321806	-0.027496382	0.010992027	0.249630884	0.07730958	0.174850237	0.901893667	0.003233308	0.467321806	-0.027496382
ILF2	2.80E-05	0.157519641	9.79E-05	0.146604376	0.495634735	-0.067888809	0.455251684	-0.074379136	0.857197711	0.004719802	9.79E-05	0.146604376
ILF3	0.283321606	0.040578127	0.552815612	0.022455182	0.364469751	-0.090276756	0.59189765	-0.053436722	0.87246598	-0.004210547	0.552815612	0.022455182
ILK	0.099635569	0.06224286	0.000865182	0.125538119	0.683954934	-0.040588839	0.394460269	-0.084789915	0.494108381	0.017934104	0.000865182	0.125538119
ILKAP	0.530405322	0.023735115	0.264959901	0.04215984	0.395879566	-0.084536581	0.23966224	-0.116886997	0.057182672	0.049855457	0.264959901	0.04215984
ILVBL	0.562314773	0.02192038	0.112456692	0.060002556	0.415755852	0.081043786	0.792749788	-0.026204049	0.401856708	0.021985915	0.112456692	0.060002556
TNF	0.49572414	-0.02577153	0.960865354	-0.001856573	0.245592421	0.115434586	0.237160842	0.117507118	0.141048919	-0.038592936	0.960865354	-0.001856573
TNFAIP1	0.564881351	0.021776633	0.246664894	0.04381267	0.462852712	-0.073134292	0.066166225	-0.181741383	0.562722982	0.01518089	0.246664894	0.04381267
TNFAIP2	0.006483707	-0.102729542	0.000910471	-0.125006079	0.002756907	0.292074333	0.010005779	0.252734564	0.257214461	0.029711618	0.000910471	-0.125006079
TNFAIP3	0.342438812	-0.035909258	0.907968669	-0.004373979	0.148570166	-0.143353918	0.398395136	-0.084088893	0.211054136	0.032795865	0.907968669	-0.004373979
TNFAIP6	0.016902842	0.090201267	0.00021788	0.139214086	0.132236306	0.149315138	0.305804512	0.1018847	0.524838179	0.016678411	0.00021788	0.139214086
TNFAIP8	0.000211018	0.139516786	0.164333644	0.05258137	0.493740895	-0.068186705	0.496640331	0.067730876	0.155882942	0.037208428	0.164333644	0.05258137
TNFAIP8L1	0.040590241	-0.077362367	0.107283988	-0.060880786	0.758558019	0.030653535	0.178430946	0.133621431	0.624373399	-0.012843121	0.107283988	-0.060880786
TNFAIP8L2	0.443019584	-0.029018811	0.865242669	-0.006421037	0.911754458	0.011054574	0.244141509	0.115787678	0.264509267	0.029260683	0.865242669	-0.006421037
TNFAIP8L3	0.687304697	-0.015229097	0.873508405	-0.006023736	0.992726039	0.000909392	0.217123125	0.122647834	0.649340946	0.011925619	0.873508405	-0.006023736
TNFRSF10A	0.831024887	0.008073804	0.152714766	0.054067631	0.541064086	-0.060911202	0.334094231	0.096125473	0.373843451	-0.023322776	0.152714766	0.054067631
TNFRSF10B	0.857402973	-0.006798514	0.011771253	0.095092654	0.81498943	0.023337821	0.804756223	-0.024654169	0.652038864	-0.011827363	0.011771253	0.095092654
TNFRSF10C	0.155187055	0.053744394	0.13577507	0.056396927	0.163437741	-0.138342832	0.245313283	-0.115502405	0.142844151	0.038419627	0.13577507	0.056396927
TNFRSF10D	0.283716075	0.040544922	0.653499793	0.016984016	0.575470774	-0.055817858	0.333050247	0.096332326	0.535995796	-0.01623192	0.653499793	0.016984016
TNFRSF11A	0.542550945	-0.023038164	0.384588287	-0.032889365	0.086317073	-0.169841734	0.067951749	-0.180577009	0.246216976	0.030408527	0.384588287	-0.032889365
TNFRSF11B	0.650055457	0.017164822	0.234818397	0.044929101	0.378910613	0.087601923	0.076241808	0.1754745	0.987399943	-0.000414231	0.234818397	0.044929101
TNFRSF12A	7.59E-06	0.168162756	1.82E-08	0.210580712	0.033709098	0.209467305	0.1956981	0.128531379	0.001264937	0.084408674	1.82E-08	0.210580712
TNFRSF13B	0.01065899	0.096398644	0.110392059	0.060349194	0.34283399	0.09440964	0.137593383	0.147301332	0.77936502	-0.007348048	0.110392059	0.060349194
TNFRSF13C	NA	NA	NA	NA	0.824211635	0.022154951	0.307681357	0.101492184	0.223596074	-0.031913912	NA	NA
TNFRSF14	0.556008268	-0.022274941	0.836028367	-0.007831243	0.145857876	-0.144308255	0.28101836	-0.107223903	0.985663096	-0.000471337	0.836028367	-0.007831243
TNFRSF17	0.516684063	-0.02453229	0.139202383	-0.055908375	0.712968617	-0.036682997	1	0	0.322271254	-0.025957765	0.139202383	-0.055908375
TNFRSF18	0.851612965	-0.007077731	0.457332549	0.028116655	0.495887006	0.067849173	0.265663955	0.110690821	0.894006325	-0.003494737	0.457332549	0.028116655
TNFRSF19	0.052455279	0.073281585	9.59E-06	0.166307236	0.300207784	0.103064611	0.483917436	0.069741699	0.136219006	0.039067777	9.59E-06	0.166307236
TNFRSF1A	0.948654109	-0.002436586	0.097950763	0.062554012	0.753485044	0.031318637	0.590630637	-0.053619296	0.45859643	0.01943853	0.097950763	0.062554012
TNFRSF1B	0.585438893	-0.02063628	0.027350188	0.083341429	0.04832954	-0.195056775	0.37174065	-0.088922056	0.113860674	0.041453241	0.027350188	0.083341429
TNFRSF21	0.349868065	-0.03536068	0.426037851	-0.030111047	0.602995691	-0.051844962	0.142208338	-0.145613723	0.351952707	-0.024411138	0.426037851	-0.030111047
TNFRSF25	0.543736313	0.022970564	0.093818808	0.063335589	0.942502026	-0.007194449	0.38179071	0.087075912	0.305670497	0.026863463	0.093818808	0.063335589
TNFRSF4	0.337746149	-0.036259686	0.513328381	-0.0247289	0.144139774	-0.144919723	0.226913412	-0.120096281	0.809663881	0.006317601	0.513328381	-0.0247289
TNFRSF6B	0.021554859	0.086789917	0.189529858	0.049610489	0.838491275	0.020329375	0.845925498	-0.019381638	NA	NA	0.189529858	0.049610489
TNFRSF8	0.778739852	-0.010630445	0.738122574	-0.01264994	0.882018103	-0.014803272	0.711368293	0.03689694	0.556788793	-0.015412096	0.738122574	-0.01264994
TNFRSF9	0.000139327	0.143389308	0.310796008	0.038335718	0.642797156	-0.046238582	0.1218042	0.153422872	0.622505147	-0.012912397	0.310796008	0.038335718
TNFSF10	0.521781192	0.024234907	0.467763636	0.027469118	0.355856418	-0.091903295	0.59025418	-0.053673577	0.149578656	0.037783986	0.467763636	0.027469118
TNFSF11	0.124214267	-0.058118517	0.170070975	-0.051876496	0.785446538	-0.027149843	0.907371525	0.011606016	0.065894023	-0.048212045	0.170070975	-0.051876496
TNFSF12	0.227812847	-0.045608135	0.613910297	-0.019087017	0.248538249	0.114722101	0.197782846	0.127939165	0.682924794	0.010713855	0.613910297	-0.019087017
TNFSF13	0.046832966	-0.07510643	0.178805025	-0.050836817	0.395796742	-0.08455135	0.527672154	-0.06293615	0.611919929	-0.013306624	0.178805025	-0.050836817
TNFSF13B	0.511982601	-0.024807937	0.801721459	0.009501408	0.796595514	0.025706953	0.34292864	0.094391209	0.006649244	0.07109505	0.801721459	0.009501408
TNFSF14	0.938818436	0.002904174	0.140156189	0.05577406	0.312489088	0.10049378	0.004067649	0.280780852	0.141840876	-0.038516274	0.140156189	0.05577406
TNFSF15	0.578667072	-0.021009809	0.794766474	0.009842155	0.928367896	0.008967221	0.099375717	0.163272278	0.68033578	-0.01080643	0.794766474	0.009842155
TNFSF18	NA	NA	NA	NA	NA	NA	NA	NA	0.774671959	0.007508634	NA	NA
