HNSCC_GSE103322.sp.p.value	HNSCC_GSE103322.sp.cor	
CXCR4	0.323076228	-0.0373758
CXCR5	0.507499525	0.02507201
CXCR6	0.345232357	-0.035702103
DOCK3	0.863528388	0.006503523
DTL	0.394576774	0.032204054
DYM	0.452075893	-0.028446107
EDA	0.040399566	-0.077435765
EDA2R	0.727837969	-0.013166818
EGF	0.520804622	0.024291767
EGFR	0.001897135	-0.117112585
ENC1	0.004572167	0.106987269
EPOR	0.888673994	-0.005296473
FAS	0.202004288	0.048246682
FASLG	0.420771878	0.030454856
FASN	0.234059362	0.045001974
FIGF	1.66E-07	-0.196089647
FLT1	0.099492119	0.062269189
FLT3	0.091698372	0.063747422
FLT3LG	0.717695666	0.013678958
FLT4	0.853466624	-0.006988299
FUNDC2	0.818629399	0.008676171
GCFC2	0.130403714	-0.057182083
GHR	0.655379551	-0.016885504
HGF	0.003232631	-0.111073861
IFNAR1	0.004056839	0.108411872
IFNAR2	0.020412014	0.087563602
IFNG	0.39453117	0.032207159
IFNGR1	0.007669816	-0.10062748
IFNGR2	0.69709857	0.014726879
IFNLR1	0.586501042	0.020577876
IL10	0.142266696	0.055479333
IL10RA	0.024462428	-0.084971228
IL10RB	0.339189094	0.036151603
IL11	0.105224222	0.061239824
IL11RA	0.085279447	-0.065042559
IL12RB1	0.112492021	0.059996668
IL12RB2	0.901521605	-0.004681903
IL13RA1	0.071352718	0.068149335
IL15	0.597796342	-0.01995976
IL15RA	0.22401728	-0.045982246
IL16	0.001996609	-0.116545459
IL17B	0.324252981	0.037285075
IL17RA	0.869941258	0.006195111
IL17RB	0.226936207	0.045694145
IL17RC	0.792070992	-0.009974429
IL17RD	0.045805174	0.075459702
IL17RE	0.347675591	-0.035521797
IL18	0.168808132	0.052030098
IL18BP	0.831529543	0.008049325
IL18R1	0.658995137	0.016696342
IL18RAP	0.768308419	-0.011145992
IL1B	0.831418274	0.008054722
IL1R1	0.000199336	0.140053959
IL1R2	0.387877985	0.032662478
IL1RAP	0.023581873	0.0855013
IL1RL1	0.211389381	-0.047260527
IL1RL2	0.768870164	0.011118177
IL1RN	0.863788991	0.006490982
IL20RB	0.374389575	0.033600404
IL21R	0.033768948	0.080191755
IL23A	0.666969723	-0.016280584
IL23R	0.592205135	0.020265054
IL24	0.474281286	0.02706857
IL27RA	0.39255993	0.032341575
IL2RA	0.390104521	0.032509579
IL2RB	0.304712068	0.038820539
IL2RG	0.931855053	0.003235476
IL31RA	0.169278326	0.051972807
IL32	2.31E-05	0.159113854
IL33	0.215601377	-0.04682821
IL34	0.771821809	0.010972125
IL3RA	0.419507508	-0.03053778
IL4R	0.079786965	0.066214776
IL5RA	0.215855239	0.046802349
IL6	0.298843669	-0.039294297
IL6R	0.501323223	-0.025437833
IL6ST	0.141683717	-0.055560407
IL7	0.75068109	0.012021949
IL7R	0.010855186	0.09615976
IL9R	0.409457333	0.031202215
KDR	0.037094469	-0.078757112
KIT	0.15616245	0.05361794
KITLG	0.007872596	-0.100297639
KLHL35	0.798594374	0.009654517
LAP3	6.46E-06	0.169435662
LEP	0.141632081	0.055567601
LEPR	0.004924949	-0.106093537
LEPROT	0.568323535	-0.021584338
LIF	0.504292849	0.025261647
LIFR	0.589314433	-0.020423411
LTA	0.102851484	-0.061660382
LTB	0.225877052	0.045798378
LTBR	0.614401853	-0.019060555
MED1	0.117737228	0.059138211
MET	0.963975637	-0.001708914
MIF	5.66E-06	0.170473035
MPI	0.236732283	0.04474609
MPL	0.403463761	0.031603071
NAT10	0.585242855	0.020647065
NCF4	0.640837463	0.017650654
NGFR	0.979640739	-0.000965574
OSM	0.304823131	-0.038811632
PDGFRA	0.036520435	-0.078996718
PDGFRB	0.416641831	0.030726269
PDLIM3	3.97E-10	0.233405457
PEBP1	0.005605222	-0.104522188
PKD1	0.44654948	-0.028794804
PRLR	0.911054446	-0.004226701
RBM39	0.472515446	-0.027176791
RELT	0.473543627	0.027113751
RNMT	0.170846146	0.051782632
SARNP	0.037763148	0.078481941
SCYL1	0.147003629	0.054829823
SCYL2	0.004315657	0.107677127
SCYL3	0.415477778	0.030803052
SLPI	0.023497195	-0.085553173
SOS1	0.537936974	0.023301996
TGFB1	0.384893697	0.032868252
TGFB2	0.004359379	0.107556965
TGFB3	0.32840432	0.036966713
TGFBR1	0.000256144	0.137674268
TGFBR2	0.574311733	0.021251128
TIMP1	0.138575906	0.055996981
TNF	0.960865354	-0.001856573
TNFRSF11A	0.384588287	-0.032889365
TNFRSF11B	0.234818397	0.044929101
TNFRSF12A	1.82E-08	0.210580712
TNFRSF13B	0.110392059	0.060349194
TNFRSF17	0.139202383	-0.055908375
TNFRSF18	0.457332549	0.028116655
TNFRSF19	9.59E-06	0.166307236
TNFRSF1A	0.097950763	0.062554012
TNFRSF1B	0.027350188	0.083341429
TNFRSF21	0.426037851	-0.030111047
TNFRSF25	0.093818808	0.063335589
TNFRSF4	0.513328381	-0.0247289
TNFRSF6B	0.189529858	0.049610489
TNFRSF8	0.738122574	-0.01264994
TNFRSF9	0.310796008	0.038335718
TNFSF10	0.467763636	0.027469118
TNFSF11	0.170070975	-0.051876496
TNFSF13	0.178805025	-0.050836817
TNFSF13B	0.801721459	0.009501408
TNFSF14	0.140156189	0.05577406
TNFSF15	0.794766474	0.009842155
TNFSF4	0.000221226	0.139069711
TNFSF8	0.958386298	0.001974284
TNFSF9	0.405934224	-0.031437417
TPO	0.947411937	0.002495617
TUBGCP2	0.581432656	0.020857016
VEGFC	0.459342309	0.027991258
XCL1	0.88427106	-0.005507402
XCL2	0.229318439	0.045460965
ZNF382	0.500734752	-0.025472812
