	NSCLC_EMTAB6149.p.value	NSCLC_EMTAB6149.cor	HNSCC_GSE103322.p.value	HNSCC_GSE103322.cor	SKCM_GSE72056.p.value	SKCM_GSE72056.cor
IL18BP	0.98840401	0.00038122	0.391950404	-0.03238322	0.371151799	-0.089031162
IL18R1	0.949238293	0.001669866	0.492913447	-0.0259398	0.20200455	-0.126753543
IL18RAP	0.611919929	-0.013306624	0.669240317	0.016162566	NA	NA
IL19	0.611919929	-0.013306624	NA	NA	NA	NA
IL1A	0.465599917	0.019136892	NA	NA	NA	NA
IL1B	0.758943305	-0.008048928	0.469011911	-0.027392167	0.985953322	0.001756184
IL1R1	0.008779957	0.068653823	0.021878116	0.086577552	0.551462721	-0.059355843
IL1R2	0.943622073	-0.001854911	0.584654901	0.020679421	0.839728263	0.020171557
IL1RAP	0.559982944	-0.015287499	0.404930483	0.031504649	0.02897697	0.215273838
IL1RAPL1	0.611919929	-0.013306624	NA	NA	NA	NA
IL1RL1	0.545621088	-0.015850493	0.35124371	-0.035259916	0.474847604	-0.07119244
IL1RL2	0.008285298	0.069169009	0.350726476	0.035297773	NA	NA
IL1RN	0.881666868	0.003904439	0.687656012	-0.015211036	NA	NA
IL2	0.473914045	-0.018782055	NA	NA	0.720175504	-0.035721569
IL20RA	0.063858323	0.048579238	NA	NA	NA	NA
IL20RB	0.962456126	-0.001234672	0.519140911	-0.024388762	0.472573201	-0.071558574
IL21	NA	NA	NA	NA	NA	NA
IL21R	0.214848068	-0.032525188	0.039016619	0.077977074	0.20680753	0.125426113
IL22	NA	NA	NA	NA	NA	NA
IL22RA2	0.681584001	-0.010761781	NA	NA	NA	NA
IL23A	NA	NA	0.605803745	-0.019524777	0.503403542	-0.066673003
IL23R	NA	NA	0.314418476	-0.038050013	0.281234758	0.107175963
IL24	0.30165183	-0.027087569	0.649878414	0.017174126	0.950272971	-0.006220767
IL26	NA	NA	NA	NA	0.525413443	-0.063280201
IL27	0.611919929	-0.013306624	NA	NA	NA	NA
IL27RA	0.177171526	-0.035386225	0.996268276	-0.000176965	0.703463881	-0.037956144
IL2RA	0.360923211	-0.023960159	0.582747508	-0.020784493	0.152572743	0.141969237
IL2RB	0.744095232	0.008562119	0.768588903	-0.011132103	0.920769975	-0.009921308
IL2RG	0.685734148	0.010613552	0.490110043	-0.026108144	0.189889737	-0.130205773
IL31RA	0.611919929	-0.013306624	0.156323237	0.053597153	0.861876646	0.017353828
IL32	0.087950136	-0.044733541	0.005318999	0.105161156	0.084184449	-0.170988425
IL33	0.768540334	0.00771887	0.211089958	-0.047291495	0.025075478	-0.220701274
IL34	0.594869807	-0.013948048	0.538596073	-0.023264239	0.747694176	0.032079543
IL3RA	0.725219965	0.009219291	0.340258956	-0.036071656	0.276028463	-0.108336288
IL4	NA	NA	NA	NA	NA	NA
IL4I1	0.203296209	-0.033360503	0.009862394	0.097410514	0.241738199	-0.116375753
IL4R	0.03819299	0.054328071	0.835365909	-0.007863339	0.907824862	0.011548963
IL5	NA	NA	NA	NA	NA	NA
IL5RA	0.480090461	-0.018520663	0.504743358	0.025234967	0.059202513	0.186542044
IL6	0.554233712	-0.015512014	0.231108424	-0.045286885	0.088773655	-0.168548459
IL6R	0.730828754	-0.009023427	0.426408881	0.030086917	0.092892921	0.166442214
IL6ST	0.042193656	0.053250476	0.062085596	-0.070504028	0.963487375	0.004566323
IL7	0.767284334	0.007761996	0.429259005	-0.029901961	0.749705323	-0.031815076
IL7R	0.254600763	-0.02987534	0.048704453	0.074479549	0.925572472	-0.009318149
IL8	NA	NA	0.043769343	0.076179601	0.752836342	-0.031403784
IL9R	NA	NA	0.845088665	0.007392822	0.596622157	-0.052757479
ILDR1	0.414294706	0.021410361	0.009559492	0.097814428	0.913790913	-0.01079847
ILDR2	0.901893667	0.003233308	0.680399022	-0.015584822	0.010992027	0.249630884
ILF2	0.857197711	0.004719802	2.80E-05	0.157519641	0.495634735	-0.067888809
ILF3	0.87246598	-0.004210547	0.283321606	0.040578127	0.364469751	-0.090276756
ILK	0.494108381	0.017934104	0.099635569	0.06224286	0.683954934	-0.040588839
ILKAP	0.057182672	0.049855457	0.530405322	0.023735115	0.395879566	-0.084536581
ILVBL	0.401856708	0.021985915	0.562314773	0.02192038	0.415755852	0.081043786
TNF	0.141048919	-0.038592936	0.49572414	-0.02577153	0.245592421	0.115434586
TNFAIP1	0.562722982	0.01518089	0.564881351	0.021776633	0.462852712	-0.073134292
TNFAIP2	0.257214461	0.029711618	0.006483707	-0.102729542	0.002756907	0.292074333
TNFAIP3	0.211054136	0.032795865	0.342438812	-0.035909258	0.148570166	-0.143353918
TNFAIP6	0.524838179	0.016678411	0.016902842	0.090201267	0.132236306	0.149315138
TNFAIP8	0.155882942	0.037208428	0.000211018	0.139516786	0.493740895	-0.068186705
TNFAIP8L1	0.624373399	-0.012843121	0.040590241	-0.077362367	0.758558019	0.030653535
TNFAIP8L2	0.264509267	0.029260683	0.443019584	-0.029018811	0.911754458	0.011054574
TNFAIP8L3	0.649340946	0.011925619	0.687304697	-0.015229097	0.992726039	0.000909392
TNFRSF10A	0.373843451	-0.023322776	0.831024887	0.008073804	0.541064086	-0.060911202
TNFRSF10B	0.652038864	-0.011827363	0.857402973	-0.006798514	0.81498943	0.023337821
TNFRSF10C	0.142844151	0.038419627	0.155187055	0.053744394	0.163437741	-0.138342832
TNFRSF10D	0.535995796	-0.01623192	0.283716075	0.040544922	0.575470774	-0.055817858
TNFRSF11A	0.246216976	0.030408527	0.542550945	-0.023038164	0.086317073	-0.169841734
TNFRSF11B	0.987399943	-0.000414231	0.650055457	0.017164822	0.378910613	0.087601923
TNFRSF12A	0.001264937	0.084408674	7.59E-06	0.168162756	0.033709098	0.209467305
TNFRSF13B	0.77936502	-0.007348048	0.01065899	0.096398644	0.34283399	0.09440964
TNFRSF13C	0.223596074	-0.031913912	NA	NA	0.824211635	0.022154951
TNFRSF14	0.985663096	-0.000471337	0.556008268	-0.022274941	0.145857876	-0.144308255
TNFRSF17	0.322271254	-0.025957765	0.516684063	-0.02453229	0.712968617	-0.036682997
TNFRSF18	0.894006325	-0.003494737	0.851612965	-0.007077731	0.495887006	0.067849173
TNFRSF19	0.136219006	0.039067777	0.052455279	0.073281585	0.300207784	0.103064611
TNFRSF1A	0.45859643	0.01943853	0.948654109	-0.002436586	0.753485044	0.031318637
TNFRSF1B	0.113860674	0.041453241	0.585438893	-0.02063628	0.04832954	-0.195056775
TNFRSF21	0.351952707	-0.024411138	0.349868065	-0.03536068	0.602995691	-0.051844962
TNFRSF25	0.305670497	0.026863463	0.543736313	0.022970564	0.942502026	-0.007194449
TNFRSF4	0.809663881	0.006317601	0.337746149	-0.036259686	0.144139774	-0.144919723
TNFRSF6B	NA	NA	0.021554859	0.086789917	0.838491275	0.020329375
TNFRSF8	0.556788793	-0.015412096	0.778739852	-0.010630445	0.882018103	-0.014803272
TNFRSF9	0.622505147	-0.012912397	0.000139327	0.143389308	0.642797156	-0.046238582
TNFSF10	0.149578656	0.037783986	0.521781192	0.024234907	0.355856418	-0.091903295
TNFSF11	0.065894023	-0.048212045	0.124214267	-0.058118517	0.785446538	-0.027149843
TNFSF12	0.682924794	0.010713855	0.227812847	-0.045608135	0.248538249	0.114722101
TNFSF13	0.611919929	-0.013306624	0.046832966	-0.07510643	0.395796742	-0.08455135
TNFSF13B	0.006649244	0.07109505	0.511982601	-0.024807937	0.796595514	0.025706953
TNFSF14	0.141840876	-0.038516274	0.938818436	0.002904174	0.312489088	0.10049378
TNFSF15	0.68033578	-0.01080643	0.578667072	-0.021009809	0.928367896	0.008967221
TNFSF18	0.774671959	0.007508634	NA	NA	NA	NA
TNFSF4	0.199946215	0.033609169	0.005870414	0.103955866	0.711086316	-0.036934655
TNFSF8	0.699118815	-0.010137767	0.00273165	0.113012359	0.957843222	0.005272794
TNFSF9	0.646074951	-0.012044787	0.823367631	-0.008445663	1.13E-05	0.417839177
